antibiotic,sample.id.ifapp,AMS method,study,type,subtype,subsubtype,location,season,wind,distance.m,air.method,strain.type,strain.number,whatisA,whatisN,whatisB,N,B,ampicillin,erythromycin,oxytetracycline,penicillin,tetracycline,tylosin,minocyclin,gentamicin,streptomycin,clindamycin,virginiamycin,vancomycin,teicoplanin,quinupristin/dalfopristin,ciprofloxacin,chloramphenicol,lincomycin,oxacillin,bacitracin,nalidixic acid,novobiocin,trimethoprim/sulfamethoxazole,tobramycin,amoxicillin/clavulanate,cefaclor,cefepime,netilmicin,pefloxacin,rifampicin,nitrofurantoin,pristinamycin,doxycycline,imipenem,norfloxacin,ticarcillin,piperacillin/tazobactam,cefalotin,cefoxitin,cefuroxime,ceftazidime,amikacin,kanamycin,methicillin,cefotaxime,cefpodoxime,aztreonam,ceftriaxone,cefotetan,cefazolin,sulbactam/ampicillin,ertapenem,amoxicillin,meropenem,colistin.sulfate,cefamandole,piperacillin,mupirocin
data,6,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,8,3,5,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,7,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,8,3,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,8,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,3,3,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,9,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,4,3,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,10,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,17,3,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,11,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,8,3,6,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,12,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,9,3,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,13,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,11,3,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,14,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,5,3,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,15,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,16,3,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,16,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,0,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,17,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,5,3,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,18,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,6,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,19,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,2,3,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,20,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,3,3,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,21,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,13,3,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,22,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,12,3,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,23,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,13,3,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,24,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,11,3,10,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,3,3,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,2,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,2,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,3,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,3,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,4,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,0,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,5,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,2,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,6,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,2,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,7,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,10,3,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,8,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,9,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,5,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,10,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,11,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,0,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,12,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,6,3,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,13,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,7,3,5,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,14,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,0,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,15,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,4,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,16,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,2,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,17,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,5,3,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,18,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,19,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,2,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,20,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,2,3,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,21,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,17,3,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,22,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,4,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,23,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,0,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,24,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,outside,1,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,6,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,diskdiffusion,perez2011,home,bedroom,Philidelphia,USA,March-May,inside,0,Biostage400,staphyloccus.aureus,MRSA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,2,diskdiffusion,perez2011,home,bedroom,Philidelphia,USA,March-May,inside,0,Biostage400,staphyloccus.aureus,MRSA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,3,diskdiffusion,perez2011,home,bedroom,Philidelphia,USA,March-May,inside,0,Biostage400,staphyloccus.aureus,MRSA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,4,diskdiffusion,perez2011,home,bedroom,Philidelphia,USA,March-May,inside,0,Biostage400,staphyloccus.aureus,MRSA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,5,diskdiffusion,perez2011,home,bedroom,Philidelphia,USA,March-May,inside,0,Biostage400,staphyloccus.aureus,MRSA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,6,diskdiffusion,perez2011,home,bedroom,Philidelphia,USA,March-May,inside,0,Biostage400,staphyloccus.aureus,MRSA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
